season,Rk,Player,Nation,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Matches
2017,17,Abby Smith,us USA,GK,Boston,19,19,1710,19,1.0,,,,3,4,12,3,15.8,Matches
2017,18,Caroline Stanley,us USA,GK,Orlando,1,0,64,0,0.0,,,,0,0,0,0,,Matches
2017,19,Lydia Williams,au AUS,GK,Seattle,3,3,270,2,0.67,,,,1,1,1,1,33.3,Matches
2017,20,Lydia Williams,au AUS,GK,Houston,8,8,720,0,0.0,,,,2,0,6,2,25.0,Matches
2018,1,Nicole Barnhart,us USA,GK,Utah,8,7,648,5,0.69,,,,5,2,0,3,42.9,Matches
2018,2,Michelle Betos,us USA,GK,Seattle,8,8,720,4,0.5,,,,3,2,3,2,25.0,Matches
2018,3,Aubrey Bledsoe,us USA,GK,Washington,21,21,1890,26,1.24,,,,2,5,14,4,19.0,Matches
2018,4,Emily Boyd,us USA,GK,Chicago,2,2,180,0,0.0,,,,2,0,0,2,100.0,Matches
2018,5,Jane Campbell,us USA,GK,Houston,24,24,2160,35,1.46,,,,9,5,10,3,12.5,Matches
2018,6,Caroline Casey,us USA,GK,Sky Blue,1,1,90,2,2.0,,,,0,0,1,0,0.0,Matches
2018,7,Sabrina D'Angelo,ca CAN,GK,North Carolina,6,6,540,3,0.5,,,,5,1,0,4,66.7,Matches
2018,8,Britt Eckerstrom,us USA,GK,Portland,10,10,900,10,1.0,,,,3,4,3,2,20.0,Matches
2018,9,Adrianna Franch,us USA,GK,Portland,14,14,1260,14,1.0,,,,9,2,3,3,21.4,Matches
2018,10,DiDi Haracic,ba BIH,GK,Washington,2,2,180,3,1.5,,,,0,0,2,0,0.0,Matches
2018,11,Ashlyn Harris,us USA,GK,Orlando,21,21,1890,31,1.48,,,,8,4,9,4,19.0,Matches
2018,12,Haley Kopmeyer,us USA,GK,Orlando,3,3,270,2,0.67,,,,0,2,1,1,33.3,Matches
2018,13,Alyssa Naeher,us USA,GK,Chicago,22,22,1980,28,1.27,,,,7,10,5,7,31.8,Matches
2018,14,Katelyn Rowland,us USA,GK,North Carolina,18,18,1620,10,0.56,,,,12,5,1,7,38.9,Matches
2018,15,Kailen Sheridan,ca CAN,GK,Sky Blue,23,23,2070,48,2.09,,,,1,6,16,2,8.7,Matches
2018,16,Abby Smith,us USA,GK,Utah,17,17,1512,17,1.01,,,,4,6,7,6,35.3,Matches
2018,17,Lydia Williams,au AUS,GK,Seattle,16,16,1440,11,0.69,,,,8,6,2,10,62.5,Matches
2018,18,Kelsey Wys,us USA,GK,Washington,1,1,90,2,2.0,,,,0,0,1,0,0.0,Matches
2019,1,Morgan Andrews,us USA,MF,Reign,1,1,90,0,0.0,0.0,0.0,,1,0,0,0,0.0,Matches
2019,2,Nicole Barnhart,us USA,GK,Utah,24,24,2160,14,0.58,,0.0,,10,4,10,10,41.7,Matches
2019,3,Michelle Betos,us USA,GK,Reign,4,4,359,3,0.75,0.0,0.0,,1,3,0,1,25.0,Matches
2019,4,Aubrey Bledsoe,us USA,GK,Washington,24,24,2149,14,0.59,,0.0,,9,7,8,10,41.7,Matches
2019,5,Emily Boyd,us USA,GK,Chicago,10,10,900,13,1.3,0.0,0.0,,5,0,5,2,20.0,Matches
2019,6,Lainey Burdett,us USA,GK,Orlando,1,1,90,0,0.0,0.0,0.0,,0,0,1,0,0.0,Matches
2019,7,Jane Campbell,us USA,GK,Houston,24,24,2160,24,1.0,,0.0,,7,5,12,6,25.0,Matches
2019,8,Britt Eckerstrom,us USA,GK,Portland,10,10,900,11,1.1,0.0,0.0,,5,3,2,3,30.0,Matches
2019,9,Adrianna Franch,us USA,GK,Portland,14,14,1260,9,0.64,,0.0,,6,4,4,5,35.7,Matches
2019,10,DiDi Haracic,ba BIH,GK,Sky Blue,5,5,450,9,1.8,0.0,0.0,,0,0,5,0,0.0,Matches
2019,11,Ashlyn Harris,us USA,GK,Orlando,13,13,1170,9,0.69,,0.0,,2,3,8,1,7.7,Matches
2019,12,Haley Kopmeyer,us USA,GK,Orlando,10,10,900,23,2.3,0.0,0.0,,2,1,7,0,0.0,Matches
2019,13,Stephanie Labbé,ca CAN,GK,North Carolina,16,16,1440,5,0.31,0.0,0.0,,11,2,3,8,50.0,Matches
2019,14,Samantha Leshnak,us USA,GK,North Carolina,2,2,180,1,0.5,0.0,0.0,,1,1,0,1,50.0,Matches
2019,15,Casey Murphy,us USA,GK,Reign,19,19,1710,9,0.47,,0.0,,9,5,5,6,31.6,Matches
2019,16,Alyssa Naeher,us USA,GK,Chicago,14,14,1260,6,0.43,,0.0,,9,2,3,6,42.9,Matches
2019,17,Katelyn Rowland,us USA,GK,North Carolina,6,6,540,9,1.5,0.0,0.0,,3,1,2,0,0.0,Matches
2019,18,Kailen Sheridan,ca CAN,GK,Sky Blue,19,19,1710,13,0.68,,0.0,,5,5,9,3,15.8,Matches
2019,19,Lydia Williams,au AUS,GK,Reign,1,1,90,3,3.0,0.0,0.0,,0,0,1,0,0.0,Matches
2019,20,Shae Yanez,us USA,GK,Washington,1,0,11,0,0.0,0.0,0.0,,0,0,0,1,,Matches
