season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2013,162,Lindsay Taylor,us USA,FW,Washington Spirit,23.0,1989.0,6,2,,0.0,0.0,0.0,0.0,0.0,0.0
2013,163,Maddie Thompson,us USA,DF,Sky Blue FC,22.0,1990.0,14,4,,0.0,0.0,0.0,0.0,0.0,0.0
2013,164,Kika Toulouse,us USA,DF,Washington Spirit,23.0,1989.0,16,9,,0.0,0.0,0.0,0.0,0.0,0.0
2013,165,Erika Tymrak,us USA,"FW,MF",FC Kansas City,21.0,1991.0,21,16,1453.0,6.0,4.0,0.0,0.0,0.0,0.0
2013,166,Rachel Van Hollebeke,us USA,DF,Portland Thorns FC,27.0,1985.0,20,20,1800.0,0.0,2.0,0.0,0.0,2.0,0.0
2013,167,Taylor Vancil,us USA,GK,Chicago Red Stars,21.0,1991.0,6,6,540.0,,,0.0,0.0,,
2013,168,Lydia Vandenbergh,au AUS,"DF,MF",Chicago Red Stars,29.0,1984.0,17,13,1195.0,0.0,2.0,0.0,0.0,1.0,0.0
2013,169,Abby Wambach,us USA,FW,Western New York Flash,32.0,1980.0,19,19,11.0,8.0,,2.0,4.0,2.0,0.0
2013,170,Nikki Washington,us USA,"FW,MF",Portland Thorns FC,24.0,1988.0,11,10,776.0,1.0,2.0,0.0,0.0,3.0,0.0
2013,171,Tiffany Weimer,us USA,FW,Portland Thorns FC,29.0,1983.0,10,5,522.0,1.0,1.0,0.0,0.0,0.0,0.0
2013,172,Ingrid Wells,us USA,MF,Washington Spirit,23.0,1989.0,8,8,,0.0,0.0,0.0,0.0,1.0,0.0
2013,173,Ingrid Wells,us USA,MF,Western New York Flash,23.0,1989.0,10,0,,0.0,,0.0,0.0,0.0,0.0
2013,174,Courtney Wetzel,us USA,"DF,MF",Portland Thorns FC,23.0,1989.0,16,6,602.0,1.0,1.0,0.0,0.0,0.0,0.0
2013,175,Cat Whitehill,us USA,DF,Boston Breakers,30.0,1982.0,22,22,1978.0,1.0,2.0,0.0,0.0,1.0,0.0
2013,176,Rhian Wilkinson,ca CAN,"DF,FW",Boston Breakers,30.0,1982.0,14,11,913.0,2.0,1.0,0.0,0.0,1.0,0.0
2013,177,Colleen Williams,us USA,"FW,MF",Washington Spirit,21.0,1991.0,6,2,,0.0,0.0,0.0,0.0,0.0,0.0
2013,178,Nia Williams,us USA,DF,FC Kansas City,22.0,1990.0,4,2,182.0,0.0,0.0,0.0,0.0,1.0,0.0
2013,179,Kat Williamson,us USA,DF,Portland Thorns FC,23.0,1989.0,22,22,1944.0,0.0,0.0,0.0,0.0,1.0,0.0
2013,180,Keelin Winters,us USA,MF,Seattle,24.0,1988.0,21,19,,1.0,1.0,0.0,0.0,1.0,0.0
2013,181,Lisa-Marie Woods,no NOR,MF,Boston Breakers,28.0,1984.0,4,1,68.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,182,Lupita Worbis,mx MEX,"FW,MF",Washington Spirit,29.0,1983.0,11,5,,1.0,1.0,0.0,0.0,0.0,0.0
2013,183,Kimberly Yokers,us USA,MF,Western New York Flash,30.0,1982.0,3,2,,0.0,,0.0,0.0,0.0,0.0
