2026-03-15 00:04:23 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1197, rho=-0.0207, intercept=0.1989, n_teams=12
2026-03-15 00:04:23 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.585, defense=1.585)
2026-03-15 00:04:27 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1346, rho=-0.0229, intercept=0.1924, n_teams=12
2026-03-15 00:04:27 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.574, defense=1.574)
2026-03-15 00:04:32 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1122, rho=-0.0234, intercept=0.1981, n_teams=12
2026-03-15 00:04:32 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.566, defense=1.566)
2026-03-15 00:04:38 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0985, rho=-0.0190, intercept=0.2119, n_teams=12
2026-03-15 00:04:38 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.566, defense=1.566)
2026-03-15 00:04:42 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0949, rho=-0.0719, intercept=0.2273, n_teams=12
2026-03-15 00:04:42 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.567, defense=1.567)
2026-03-15 00:04:47 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1027, rho=-0.0939, intercept=0.2212, n_teams=12
2026-03-15 00:04:47 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.565, defense=1.565)
2026-03-15 00:04:52 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0927, rho=-0.0904, intercept=0.2290, n_teams=12
2026-03-15 00:04:52 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.567, defense=1.567)
2026-03-15 00:04:57 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0974, rho=-0.0847, intercept=0.2394, n_teams=12
2026-03-15 00:04:57 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.552, defense=1.552)
2026-03-15 00:05:02 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0403, rho=-0.0855, intercept=0.2716, n_teams=12
2026-03-15 00:05:02 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.574, defense=1.574)
2026-03-15 00:05:07 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0920, rho=-0.1003, intercept=0.2304, n_teams=12
