ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
151,Kaleigh Kurtz,usUSA,DF,NC Courage,25,1997,22,22,,22.0,0,1,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,Matches
152,Lo'eau LaBonta,usUSA,MF,Current,29,1993,17,16,,16.1,2,1,3,2,0,0,1,0,0.12,0.06,0.19,0.12,0.19,Matches
153,Mariana Larroquette,arARG,FW,Orlando Pride,30,1992,5,0,90.0,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,Matches
154,Mimmi Larsson,seSWE,"FW,MF",Current,28,1994,20,5,595.0,6.6,2,2,4,2,0,0,0,0,0.3,0.3,0.61,0.3,0.61,Matches
155,Veronica Latsko,usUSA,MF,Reign,27,1995,18,10,,11.7,4,2,6,4,0,0,3,0,0.34,0.17,0.51,0.34,0.51,Matches
156,Lauren,brBRA,DF,Current,20,2002,2,1,91.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
157,Rose Lavelle,usUSA,MF,Reign,27,1995,4,4,353.0,3.9,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,Matches
158,Claire Lavogez,frFRA,"FW,MF",Current,28,1994,4,0,58.0,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
159,Clarisse Le Bihan,frFRA,"FW,MF",Angel City FC,28,1994,16,7,681.0,7.6,1,4,5,1,0,0,2,0,0.13,0.53,0.66,0.13,0.66,Matches
160,Adriana Leon,caCAN,"FW,MF",Portland Thorns,30,1992,5,0,81.0,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
161,Sydney Leroux,usUSA,FW,Angel City FC,32,1990,13,5,522.0,5.8,2,1,3,2,0,0,0,0,0.34,0.17,0.52,0.34,0.52,Matches
