ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
74,Michelle Cooper,usUSA,"MF,FW",Current,21,2002,14.9,,,,,,,,,,,,,,,,,Matches
75,Ana-Maria Crnogorčević,chSUI,"FW,MF",Reign,33,1990,8.0,,,,,,,,,,,,,,,,,Matches
76,Chardonnay Curran,usUSA,FW,Red Stars,24,1999,2.7,,,,,,,,,,,,,,,,,Matches
77,Madison Curry,usUSA,DF,Angel City FC,23,2001,17.7,,,,,,,,,,,,,,,,,Matches
78,Izzy D'Aquila,usUSA,"MF,FW",Portland Thorns,22,2001,5.0,,,,,,,,,,,,,,,,,Matches
79,Abby Dahlkemper,usUSA,DF,Bay FC,30,1993,9.0,,,,,,,,,,,,,,,,,Matches
80,Abby Dahlkemper,usUSA,DF,SD Wave,30,1993,12.5,,,,,,,,,,,,,,,,,Matches
81,Tierna Davidson,usUSA,DF,Gotham FC,25,1998,15.7,,,,,,,,,,,,,,,,,Matches
82,Debinha,brBRA,"MF,FW",Current,32,1991,16.3,,,,,,,,,,,,,,,,,Matches
83,Kate Del Fava,usUSA,DF,Royals,25,1998,26.0,,,,,,,,,,,,,,,,,Matches
84,Cece Delzer,usUSA,"FW,MF",Gotham FC,26,1997,0.7,,,,,,,,,,,,,,,,,Matches
85,Cece Delzer,usUSA,"FW,MF",Houston Dash,26,1997,2.4,,,,,,,,,,,,,,,,,Matches
86,Savannah Demelo,usUSA,MF,Racing Louisville,25,1998,19.4,,,,,,,,,,,,,,,,,Matches
87,Ana Dias,ptPOR,FW,Portland Thorns,26,1997,2.6,,,,,,,,,,,,,,,,,Matches
88,Vanessa DiBernardo,usUSA,"MF,FW",Current,31,1992,17.0,,,,,,,,,,,,,,,,,Matches
89,Claudia Dickey,usUSA,GK,Reign,24,2000,17.7,,,,,,,,,,,,,,,,,Matches
90,Marisa DiGrande,usUSA,MF,Racing Louisville,26,1997,19.5,,,,,,,,,,,,,,,,,Matches
91,Maya Doms,usUSA,MF,Bay FC,22,2001,0.2,,,,,,,,,,,,,,,,,Matches
92,Makenzy Doniak,usUSA,MF,SD Wave,29,1994,15.7,,,,,,,,,,,,,,,,,Matches
93,Imani Dorsey,usUSA,DF,Royals,27,1996,1.5,,,,,,,,,,,,,,,,,Matches
94,Meggie Dougherty Howard,usUSA,MF,Angel City FC,28,1995,12.9,,,,,,,,,,,,,,,,,Matches
95,Julie Doyle,usUSA,MF,Orlando Pride,25,1998,15.2,,,,,,,,,,,,,,,,,Matches
96,Evelina Duljan,seSWE,FW,Orlando Pride,20,2003,2.0,,,,,,,,,,,,,,,,,Matches
97,Crystal Dunn,usUSA,"MF,FW",Gotham FC,31,1992,11.7,,,,,,,,,,,,,,,,,Matches
98,Caprice Dydasco,usUSA,DF,Bay FC,30,1993,22.5,,,,,,,,,,,,,,,,,Matches
99,Cori Dyke,usUSA,DF,Orlando Pride,23,2000,12.2,,,,,,,,,,,,,,,,,Matches
100,Elizabeth Eddy,usUSA,MF,Angel City FC,32,1991,0.4,,,,,,,,,,,,,,,,,Matches
101,Emily van Egmond,auAUS,MF,SD Wave,30,1993,21.0,,,,,,,,,,,,,,,,,Matches
102,Claire Emslie,sctSCO,"MF,FW",Angel City FC,29,1994,21.8,,,,,,,,,,,,,,,,,Matches
103,Sierra Enge,usUSA,DF,SD Wave,23,2000,1.0,,,,,,,,,,,,,,,,,Matches
104,Abby Erceg,nzNZL,DF,Racing Louisville,34,1989,26.0,,,,,,,,,,,,,,,,,Matches
105,Sinead Farrelly,ieIRL,MF,Gotham FC,34,1989,0.0,,,,,,,,,,,,,,,,,Matches
106,Bayley Feist,usUSA,MF,Current,26,1997,6.4,,,,,,,,,,,,,,,,,Matches
107,Kayla Fischer,usUSA,"MF,FW",Racing Louisville,24,2000,12.6,,,,,,,,,,,,,,,,,Matches
108,Jess Fishlock,wlsWAL,"MF,FW",Reign,37,1987,15.5,,,,,,,,,,,,,,,,,Matches
109,Jessie Fleming,caCAN,MF,Portland Thorns,25,1998,18.9,,,,,,,,,,,,,,,,,Matches
110,Taylor Flint,usUSA,MF,Racing Louisville,25,1998,22.8,,,,,,,,,,,,,,,,,Matches
111,Lauren Flynn,usUSA,DF,Royals,21,2002,9.9,,,,,,,,,,,,,,,,,Matches
112,Dana Foederer,nlNED,MF,Royals,21,2002,17.0,,,,,,,,,,,,,,,,,Matches
113,Adrianna Franch,usUSA,GK,Current,33,1990,17.0,,,,,,,,,,,,,,,,,Matches
114,Bea Franklin,usUSA,MF,Red Stars,23,2000,12.3,,,,,,,,,,,,,,,,,Matches
115,Macey Fraser,nzNZL,MF,Royals,21,2002,2.3,,,,,,,,,,,,,,,,,Matches
116,Mandy Freeman,usUSA,DF,Gotham FC,28,1995,8.3,,,,,,,,,,,,,,,,,Matches
117,Kennedy Fuller,usUSA,"MF,FW",Angel City FC,16,2007,10.9,,,,,,,,,,,,,,,,,Matches
118,Ryan Gareis,usUSA,"MF,FW",Houston Dash,25,1998,3.6,,,,,,,,,,,,,,,,,Matches
119,Morgan Gautrat,usUSA,MF,Orlando Pride,30,1993,9.4,,,,,,,,,,,,,,,,,Matches
120,Naomi Girma,usUSA,DF,SD Wave,23,2000,19.0,,,,,,,,,,,,,,,,,Matches
121,Hanna Glas,seSWE,DF,Reign,30,1993,5.3,,,,,,,,,,,,,,,,,Matches
122,Parker Goins,usUSA,MF,Racing Louisville,25,1998,1.9,,,,,,,,,,,,,,,,,Matches
123,Nádia Gomes,ptPOR,"MF,FW",Red Stars,27,1996,2.6,,,,,,,,,,,,,,,,,Matches
124,Esther González,esESP,"FW,MF",Gotham FC,31,1992,17.5,,,,,,,,,,,,,,,,,Matches
125,Sarah Gorden,usUSA,DF,Angel City FC,31,1992,22.8,,,,,,,,,,,,,,,,,Matches
126,Emily Gray,usUSA,MF,Royals,23,2000,0.0,,,,,,,,,,,,,,,,,Matches
127,Sarah Griffith,usUSA,MF,Red Stars,24,1999,2.1,,,,,,,,,,,,,,,,,Matches
128,Shea Groom,usUSA,"MF,FW",Red Stars,30,1993,5.9,,,,,,,,,,,,,,,,,Matches
129,Julia Grosso,caCAN,MF,Red Stars,23,2000,9.5,,,,,,,,,,,,,,,,,Matches
130,Kristen Hamilton,usUSA,"FW,MF",Current,31,1992,1.0,,,,,,,,,,,,,,,,,Matches
131,Madison Hammond,usUSA,MF,Angel City FC,26,1997,15.4,,,,,,,,,,,,,,,,,Matches
132,DiDi Haracic,baBIH,GK,Angel City FC,31,1992,23.0,,,,,,,,,,,,,,,,,Matches
133,Jyllissa Harris,usUSA,DF,Houston Dash,23,2000,8.9,,,,,,,,,,,,,,,,,Matches
134,Ashley Hatch,usUSA,"FW,MF",Washington Spirit,28,1995,15.6,,,,,,,,,,,,,,,,,Matches
135,Anna Heilferty,usUSA,DF,Washington Spirit,24,1999,0.8,,,,,,,,,,,,,,,,,Matches
136,Amandine Henry,frFRA,MF,Angel City FC,34,1989,2.9,,,,,,,,,,,,,,,,,Matches
137,Amandine Henry,frFRA,MF,Royals,34,1989,9.3,,,,,,,,,,,,,,,,,Matches
138,Hal Hershfelt,usUSA,MF,Washington Spirit,22,2001,23.1,,,,,,,,,,,,,,,,,Matches
139,Samantha Hiatt,usUSA,DF,Gotham FC,26,1998,12.4,,,,,,,,,,,,,,,,,Matches
140,Rachel Hill,usUSA,"MF,FW",Bay FC,28,1995,12.3,,,,,,,,,,,,,,,,,Matches
141,Heather Hinz,usUSA,GK,Houston Dash,22,2001,1.0,,,,,,,,,,,,,,,,,Matches
142,Sophie Hirst,usUSA,MF,Portland Thorns,23,2000,0.0,,,,,,,,,,,,,,,,,Matches
143,Sophie Hirst,usUSA,MF,Houston Dash,23,2000,3.2,,,,,,,,,,,,,,,,,Matches
144,Penelope Hocking,usUSA,"FW,MF",Red Stars,24,1999,10.9,,,,,,,,,,,,,,,,,Matches
145,Penelope Hocking,usUSA,"MF,FW",Bay FC,24,1999,4.1,,,,,,,,,,,,,,,,,Matches
146,Shelby Hogan,usUSA,GK,Portland Thorns,25,1998,21.0,,,,,,,,,,,,,,,,,Matches
